Locus_Tag,A_1,A_2,CO_1,CO_2,CO_3,H2_1,H2_2,H2_3,S_1,S_2,S_3
BFJEKD_07125,3.078075204,11.59246089,17.43802962,10.93996845,12.05206203,28.96773109,23.84117999,21.73277787,5.144876515,17.16805932,21.09695775
BFJEKD_07130,10.2658269,15.77582721,36.08913956,46.69121015,24.38267286,32.11639752,39.62164066,43.64522046,23.00000375,36.75195307,61.45922162
BFJEKD_07135,203.1827033,319.5151032,262.7881196,255.3691726,239.7339917,216.4183388,285.8168312,225.1664842,271.686621,235.6220315,207.5527876
BFJEKD_07140,273.4379811,124.3460379,216.7235003,518.1773273,268.086557,235.664833,231.5638613,213.4212868,309.8391858,197.2839104,615.159616
BFJEKD_07145,25.94201782,46.2956518,34.3560889,67.8959884,32.28937713,78.21287395,46.74627997,40.36786965,31.36083748,35.37084221,96.89199786
BFJEKD_07150,47.00641769,139.0500821,82.34489604,84.31995363,63.59780425,142.7589209,92.45294293,74.66374715,60.05840611,54.84142026,93.79017707
BFJEKD_07155,207.7007502,2096.982182,227.5769979,232.5551245,344.17809,140.6109325,120.1215641,187.9177957,82.03729921,227.2730015,368.1240944
BFJEKD_07160,60.69635575,59.41192479,79.69102581,63.80207386,120.817457,100.0314815,63.17790873,56.46658905,72.19979851,91.99597612,49.87382259
BFJEKD_07165,68.24946852,128.1118662,50.26734059,46.07094714,87.58185986,181.3592295,124.9592517,71.91961304,58.40245482,63.82086973,43.44827323
BFJEKD_07170,119.8901694,262.5206674,133.0143496,113.0041746,170.4751948,295.9563498,253.1293999,132.5820862,198.979333,112.6007466,96.34179156
BFJEKD_07175,13.72655158,73.74416432,13.31631353,14.60496103,13.82472663,51.33663541,41.71358662,26.95294644,13.60073425,19.07422807,13.72727724
BFJEKD_07180,11.66484362,66.82054352,8.403053019,8.898484364,10.63818673,63.34943124,23.80656485,17.82108895,10.501975,12.95284475,9.567288469
BFJEKD_07185,9.991606891,57.31137131,10.58583914,10.01138335,14.87548217,22.69900443,11.720693,10.13880871,8.21845104,13.27893547,8.595180105
BFJEKD_07190,5.386631606,21.55379434,20.38179282,21.11967644,27.62556494,25.80513645,16.63199098,18.67902548,9.669855368,31.27834807,21.34391626
BFJEKD_07195,28.42422065,51.58500551,57.78151007,60.47595273,60.39160312,66.31515497,65.67980673,82.71447472,50.66346522,61.41657131,67.36690019
BFJEKD_07200,160.296135,259.3907481,132.1411856,171.6894627,77.69375801,63.25744069,61.92432803,164.2280462,17.06681284,98.06350162,341.8976653
BFJEKD_07205,27.24016812,52.07597715,27.87456303,37.3302201,33.75037496,51.19633718,33.89420005,41.26579197,13.34026394,37.48676165,80.01335495
BFJEKD_07210,300.3254299,327.870463,302.3827503,377.0355425,427.9018752,319.0015679,245.2649326,334.0584608,166.9090534,468.8379276,534.1993129
BFJEKD_07215,240.6028784,178.2380562,161.741525,196.87761,205.8321884,164.3621126,124.1735287,179.3383966,96.06251731,145.1594057,306.5597486
BFJEKD_07220,105.9772442,145.9983413,62.71005156,96.88687716,65.36931441,168.1424085,121.946012,87.73302291,60.02283569,56.45624619,152.1786584
BFJEKD_07230,3.404757713,6.233681798,7.41191036,6.653267344,7.464618756,14.75714603,15.03983077,7.155703369,15.75057515,5.653378024,6.034277243
BFJEKD_07235,24.37151545,30.54227029,35.98363833,40.3913812,35.4508233,61.0253535,56.97623752,53.30958582,22.55979815,38.32653243,45.11584415
BFJEKD_07240,19.32161337,76.81265389,45.88338465,34.14730295,47.78077223,108.6289916,104.6870578,64.55952568,28.98266368,39.39978831,40.27053797
BFJEKD_07245,6.482089647,19.33485903,17.21969295,13.60047287,28.83100204,54.3114487,34.29666463,27.60526011,8.817454356,22.52880715,19.61972687
BFJEKD_07250,5.742772539,11.72658853,16.12264406,15.29976561,29.59177022,18.09884686,11.70540753,16.46844185,5.61018579,26.15185895,17.91824774
BFJEKD_07255,1.480295709,5.097143108,4.77760867,4.282377142,7.870398402,5.439741869,3.117840132,5.054080048,2.240833441,6.582801371,5.580225848
BFJEKD_07260,1.977812901,9.103712266,9.491108994,5.919748865,11.63475407,6.006268218,5.15063801,6.747322451,3.75125843,11.33296356,11.30316216
BFJEKD_07265,1.317593343,3.652876165,15.04072823,6.342143331,15.86984131,6.752190557,4.407594143,7.907833147,2.903813839,16.82423079,16.01623357
