"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","significant"
283882.571589413,-3.99730647531501,0.900465132130266,-4.43915742285148,9.03117426608295e-06,9.66235854490035e-05,"BFJEKD_00005","yes"
936.087420128561,-0.578854774049136,0.42803711819867,-1.35234714336261,0.1762642897937,0.303119220494526,"BFJEKD_00010","no"
439.949322467975,-1.04722361936073,0.361044628784472,-2.90053787224702,0.00372522818861389,0.0148740296644346,"BFJEKD_00015","yes"
861.51165426629,-2.55756534670263,0.414902499626625,-6.16425629877913,7.08151651097921e-10,2.14271198804863e-08,"BFJEKD_00020","yes"
1449.91565576062,-0.767677991360944,0.289610056326178,-2.65072974709253,0.00803180803658774,0.0275528720333962,"BFJEKD_00025","no"
3280.17636402816,0.428464143495843,0.439146581614886,0.975674550215649,0.329225767825181,0.477323249657024,"BFJEKD_00030","no"
2469.33234126502,1.03295958434678,0.281910008625513,3.66414654585379,0.000248164676086816,0.00160726051920441,"BFJEKD_00035","yes"
8221.95145855601,0.845052957174253,0.849852380985375,0.994352638271652,0.320051217338301,0.468642103875705,"BFJEKD_00040","no"
4648.4730904003,1.041449966884,0.4099247876155,2.5405879281954,0.0110666263170212,0.0352186061839138,"BFJEKD_00045","yes"
1046.28486809702,0.315319758619403,0.536070615820213,0.588205638051899,0.556394273490551,0.686060178678416,"BFJEKD_00050","no"
673.377699710369,0.504680940915383,0.617095827608889,0.817832366280794,0.413452913908635,0.558002915215941,"BFJEKD_00055","no"
2833.5210353996,0.0295509946210314,0.417758890691267,0.0707369616290709,0.943607103377798,0.966215763496641,"BFJEKD_00060","no"
1093.9310143649,-0.0907607774874673,0.347705245499295,-0.26102792138536,0.794070975315942,0.865101796736608,"BFJEKD_00065","no"
1412.5005925065,0.925170307054323,0.299357940061512,3.09051534381957,0.00199809480680018,0.00889496688130699,"BFJEKD_00070","no"
237.367274406775,0.301947406168808,0.501489621302457,0.602101007364015,0.547106904027902,0.677741683755092,"BFJEKD_00075","no"
355.215469826399,-1.00590348087693,0.355120357196889,-2.8325705932967,0.00461753691069307,0.0176542156516429,"BFJEKD_00080","yes"
114.218162017152,-0.550328610057025,0.545358589491692,-1.00911330757615,0.312920296554663,0.460719435715383,"BFJEKD_00085","no"
211.065553551295,-0.696484598010794,0.465387376013831,-1.49656959751761,0.134505285856653,0.247359435955754,"BFJEKD_00090","no"
131.485913340266,-1.61069717505262,0.601079560007732,-2.67967384389498,0.00736939259031711,0.0256900607581441,"BFJEKD_00095","yes"
221.191677555463,-0.962574490317882,0.417772814444869,-2.30406205726176,0.0212191602642049,0.0589116901098678,"BFJEKD_00100","no"
1028.56005920667,-0.232541265217276,0.27357433175997,-0.850011270141032,0.395318820417654,0.541014060592782,"BFJEKD_00105","no"
1431.14909561559,1.34312225199957,0.405844617718471,3.30944946258048,0.000934796401780834,0.00477634098165854,"BFJEKD_00110","yes"
0,NA,NA,NA,NA,NA,"BFJEKD_00115","no"
195.619780908243,0.838886456359995,0.358172703523515,2.34212838696939,0.0191741178567107,0.054375588036966,"BFJEKD_00120","no"
9741.52248399049,-0.0288492909172484,0.762980926865664,-0.0378112871520415,0.969838144962854,0.98232035529853,"BFJEKD_00125","no"
3527.16101923289,1.38064771987698,0.793262970063353,1.74046661949531,0.0817771164974004,0.169462547094782,"BFJEKD_00130","no"
4298.90719227495,0.984422434130432,0.484751559790097,2.03077723887407,0.0422775969631244,0.102594694886078,"BFJEKD_00135","no"
2185.87406728124,1.18654520311575,0.630604590972434,1.88159937320788,0.0598904314035441,0.13400094790637,"BFJEKD_00140","no"
2125.48261568139,1.86194036366193,0.776062403622809,2.39921474738376,0.0164302757348956,0.0484280501683795,"BFJEKD_00145","yes"
443.904588634584,0.190892454337828,0.357864475812893,0.533421077641792,0.593742130109621,0.718613521848301,"BFJEKD_00150","no"
0,NA,NA,NA,NA,NA,"BFJEKD_00155","no"
4608.08275980655,0.586321661885339,0.447545124012846,1.31008390087724,0.190167454027006,0.319826004469098,"BFJEKD_00160","no"
871.243557968751,-0.114219863461629,0.519761561779749,-0.219754348648873,0.826062474990373,0.886735023735508,"BFJEKD_00165","no"
1688.47677037014,-0.12752624368066,0.425320868057177,-0.299835379023811,0.764302727591244,0.845997274638722,"BFJEKD_00170","no"
1610.4647513596,0.441427806764957,0.662416124480866,0.66639049149189,0.505161538553561,0.641601717470747,"BFJEKD_00175","no"
5444.2673026797,0.225870129376011,0.723258434488968,0.312295188836067,0.754816196098412,0.8402998354381,"BFJEKD_00180","no"
2754.73428246867,-1.12293702845271,0.726876631146691,-1.54487980536836,0.122375339025843,0.229409335937604,"BFJEKD_00185","no"
3478.22330993705,1.16571671954557,0.315109470353503,3.69940236400329,0.00021610775665678,0.00143074417355847,"BFJEKD_00190","yes"
687.890866726664,0.901789499315147,0.330715072163367,2.7267868180791,0.00639543433507307,0.0229135219054005,"BFJEKD_00195","no"
1083.56349361452,0.347565869706596,0.380080456189149,0.914453411236774,0.360478647540426,0.507316061745665,"BFJEKD_00200","no"
1167.76833562101,-0.431481484360371,0.369050600681826,-1.16916618903533,0.242336680646172,0.385449677265965,"BFJEKD_00205","no"
3514.72602715174,-1.42650910994677,0.461110291922271,-3.09363971036075,0.00197717435475111,0.0088307673062499,"BFJEKD_00210","yes"
2105.33370976557,-2.19144552372702,0.531775212920358,-4.12099975794702,3.7723182206526e-05,0.000326120278316686,"BFJEKD_00215","yes"
1037.94396229133,0.498961905789107,0.37983433195856,1.31363034830549,0.188970630668516,0.318487055082316,"BFJEKD_00220","no"
