"","A_1","A_2","CO_1","CO_2","CO_3","H2_1","H2_2","H2_3","S_1","S_2","S_3"
"BFJEKD_05295",478,156,1179,1089,1517,681,920,1906,2470,1954,857
"BFJEKD_05300",635,1627,1494,1090,960,2803,3406,3150,519,1001,964
"BFJEKD_05305",165,584,568,434,514,1491,1013,789,668,665,490
"BFJEKD_05310",612,1284,2184,1374,2116,2003,2760,2115,1389,1996,1365
"BFJEKD_05315",349,974,1781,1128,1979,4151,3411,2571,1227,1902,869
"BFJEKD_05320",63,157,275,239,454,606,486,247,421,480,188
"BFJEKD_05325",417,1740,2431,1318,5351,6239,3804,2061,2449,3431,1156
"BFJEKD_05330",65,227,288,229,690,379,281,155,134,655,156
"BFJEKD_05335",128,443,752,451,1058,674,559,450,500,991,366
"BFJEKD_05340",461,723,920,662,1242,1287,1245,923,1301,967,550
"BFJEKD_05345",748,1053,663,501,1023,810,889,677,868,533,342
"BFJEKD_05350",86,109,72,94,83,76,99,98,171,95,92
"BFJEKD_05355",447,864,2471,1690,2785,3225,2194,2501,2077,2976,1662
"BFJEKD_05360",384,431,337,208,176,775,1279,479,222,241,239
"BFJEKD_05365",223,435,268,206,178,703,491,365,382,227,140
"BFJEKD_05370",503,813,477,604,539,880,909,683,1118,606,437
"BFJEKD_05375",2824,4362,2063,2371,1989,1909,3270,3418,2238,2169,2431
"BFJEKD_05380",2139,1674,1375,2435,1271,1870,2524,1979,1965,1123,2007
"BFJEKD_05385",548,1035,431,700,432,1196,1107,725,451,470,1055
"BFJEKD_05390",107,435,90,183,161,336,208,126,235,192,147
"BFJEKD_05395",36,168,43,80,49,140,169,66,102,59,83
"BFJEKD_05400",224,567,195,287,156,428,646,327,235,190,383
"BFJEKD_05405",706,583,759,894,595,641,857,808,1049,506,905
"BFJEKD_05410",2095,850,868,1868,727,517,577,398,2676,647,1739
"BFJEKD_05415",179,6884,317,379,206,245,338,343,473,237,346
"BFJEKD_05420",60,2703,147,133,164,120,99,132,89,151,105
"BFJEKD_05425",224,2855,571,341,817,477,449,493,155,699,393
"BFJEKD_05430",709,940,1435,767,2224,1277,1351,1192,849,1320,747
"BFJEKD_05435",97,189,445,251,597,425,416,308,303,606,239
"BFJEKD_05440",185,484,932,777,1028,887,1356,685,946,1124,571
"BFJEKD_05445",267,473,785,615,1056,833,894,752,874,871,594
"BFJEKD_05450",1151,1354,2725,2426,2577,2139,3340,3110,4905,2051,1695
"BFJEKD_05455",480,1303,925,1002,977,2467,2395,1417,2255,1090,741
"BFJEKD_05460",331,1030,819,734,786,962,994,871,985,1039,630
"BFJEKD_05465",877,1174,733,1497,595,1017,1895,1062,1285,984,731
"BFJEKD_05470",1414,552,226,432,259,794,927,352,618,335,253
"BFJEKD_05475",4899,335,534,758,415,103510,129846,10725,2737,330,293
"BFJEKD_05480",694,441,297,419,272,18438,42941,2197,553,342,312
"BFJEKD_05485",1807,1581,735,1412,803,4414,6613,1664,1537,1133,1027
"BFJEKD_05490",555,639,659,701,935,4230,2265,713,1197,721,441
"BFJEKD_05495",3635,36454,3239,2613,3667,5257,5061,3411,3703,3085,2907
"BFJEKD_05500",766,5727,983,800,1213,1698,1337,846,1079,1234,780
"BFJEKD_05505",124,418,378,251,515,492,424,346,304,479,240
"BFJEKD_05510",323,962,1067,777,1107,1500,1579,1019,869,1065,710
"BFJEKD_05515",2589,2691,1694,1900,1711,1690,3011,3035,3400,1412,1501
"BFJEKD_05520",454,787,1076,778,1531,1155,1204,961,1039,1369,731
"BFJEKD_05525",139,220,200,249,150,226,406,435,286,235,215
"BFJEKD_05530",1883,11074,1179,906,1389,1474,1476,1259,1025,1222,1329
"BFJEKD_05535",70,706,119,90,128,231,175,113,122,203,168
"BFJEKD_05540",186,460,629,394,520,424,615,730,397,821,641
"BFJEKD_05545",73,275,86,109,76,139,180,189,252,104,75
"BFJEKD_05550",114,402,207,257,320,229,233,237,513,291,176
"BFJEKD_05555",967,1071,281,300,209,133,150,150,345,287,223
"BFJEKD_05560",1147,1595,600,474,631,446,465,676,492,654,471
"BFJEKD_05565",319,758,262,175,282,264,272,253,152,354,246
"BFJEKD_05570",308,523,1031,1074,873,1410,1449,960,1899,1101,909
"BFJEKD_05575",1034,689,3114,3618,3736,4607,5859,4155,5417,3102,2482
"BFJEKD_05580",2264,1358,4713,6793,5538,7041,11052,7573,14278,4663,4441
"BFJEKD_05585",380,701,618,548,414,791,1124,647,535,544,487
"BFJEKD_05590",596,562,581,846,452,515,731,629,1462,737,515
"BFJEKD_05595",885,2204,1587,3524,2039,14603,20425,6180,25648,1884,3020
"BFJEKD_05600",2115,4626,2339,5965,3801,15363,20288,10151,43373,3658,5238
"BFJEKD_05605",1917,958,3696,3264,1611,3171,5894,6020,4329,1837,1808
"BFJEKD_05610",814,7421,14375,38602,24666,41974,50076,29006,104159,21054,18669
"BFJEKD_05615",147,1547,2379,5463,3047,6156,8543,3773,16764,3482,3209
"BFJEKD_05620",4292,5458,6891,9948,5860,16931,22341,13659,25536,6871,7546
"BFJEKD_05625",1805,2710,1904,2160,1294,5018,6597,1887,1795,1115,1875
"BFJEKD_05630",24481,7040,21308,19913,16407,12516,14544,10176,23632,15007,11586
"BFJEKD_05635",1222,615,2471,2473,1979,1658,2318,1195,1236,2426,1711
"BFJEKD_05640",608,573,651,945,656,1351,874,523,604,953,953
"BFJEKD_05645",957,2016,884,1173,977,1428,918,780,914,1318,1131
"BFJEKD_05650",122,1098,167,198,137,227,191,131,248,264,253
"BFJEKD_05655",1479,1784,1272,2877,1591,1151,1085,2238,1527,1288,4021
"BFJEKD_05660",385,741,410,1205,647,283,280,749,576,669,1510
"BFJEKD_05665",2388,3518,19036,7564,23614,7161,7175,9755,16319,18145,5988
"BFJEKD_05670",391,1106,1968,1126,2292,1133,1214,1504,2237,2380,903
"BFJEKD_05675",1800,2700,3598,2839,4171,1893,2747,3539,2493,3229,2459
"BFJEKD_05680",439,417,562,726,361,402,821,504,1920,368,406
"BFJEKD_05685",770,917,747,792,457,460,1117,624,1846,306,345
"BFJEKD_05690",568,424,523,923,413,636,856,1148,634,571,1291
"BFJEKD_05695",397,194,220,511,171,267,293,393,384,276,583
"BFJEKD_05700",244,86,158,418,167,250,246,259,293,231,410
"BFJEKD_05705",376,158,163,587,203,496,447,222,321,245,372
"BFJEKD_05710",577,82,139,562,221,455,690,164,295,289,416
"BFJEKD_05715",2278,328,411,1453,616,957,1790,519,941,636,822
"BFJEKD_05720",1132,173,141,559,192,141,376,150,433,230,128
"BFJEKD_05725",26531,36275,60904,46395,49014,32051,47033,59915,115907,41707,34397
"BFJEKD_05730",1886,7771,5313,4021,2559,2702,3582,3288,13389,3237,3440
"BFJEKD_05735",1475,1802,910,601,866,611,795,710,638,2008,2415
"BFJEKD_05740",2769,4698,3060,2517,2938,2084,2979,2486,4336,3771,3145
"BFJEKD_05745",716,1291,1575,812,1513,1240,1069,878,705,2080,1649
"BFJEKD_05750",196,346,474,460,556,798,1024,509,523,569,419
"BFJEKD_05755",237,249,587,480,751,765,634,364,592,829,337
"BFJEKD_05760",400,417,1050,955,1793,1011,910,634,862,1840,706
"BFJEKD_05765",2,0,0,0,0,0,0,0,0,0,0
"BFJEKD_05770",0,0,0,0,0,0,0,0,0,0,0
"BFJEKD_05775",36,45,166,138,186,102,110,77,152,263,97
"BFJEKD_05780",840,1840,5166,3545,5979,5713,5599,4412,5962,5465,2410
"BFJEKD_05785",214,391,1301,986,1504,792,774,808,1284,1678,650
"BFJEKD_05790",167,226,892,806,793,699,799,800,1461,920,574
"BFJEKD_05795",250,530,1196,847,1751,2676,2138,1354,1941,1555,756
"BFJEKD_05800",118,188,321,277,549,528,339,253,421,508,208
"BFJEKD_05805",687,458,351,411,378,540,529,449,707,382,295
"BFJEKD_05810",10842,3961,5521,6748,5533,3560,4750,5625,4953,4812,5438
"BFJEKD_05815",214,375,813,445,596,173,241,305,321,858,497
"BFJEKD_05820",266,501,486,464,605,806,786,726,322,786,459
"BFJEKD_05825",160,263,310,204,555,623,427,348,132,564,201
"BFJEKD_05830",168,235,204,177,315,499,547,197,145,279,190
"BFJEKD_05835",163,218,231,217,191,293,405,167,392,197,148
"BFJEKD_05840",597,819,676,718,993,663,643,455,1260,1077,570
"BFJEKD_05845",55,48,73,50,95,76,55,45,142,136,59
"BFJEKD_05850",1252,2028,725,857,729,339,414,481,1710,674,846
"BFJEKD_05855",11,18,31,27,21,6,11,8,28,41,22
"BFJEKD_05860",120,272,738,618,723,769,716,838,646,930,467
"BFJEKD_05865",8665,13417,5648,3029,7295,43938,26645,6638,11925,7628,2034
"BFJEKD_05870",658,2565,1230,1350,1097,2090,1641,1728,1014,989,1614
"BFJEKD_05875",457,913,463,781,315,755,831,651,619,341,713
"BFJEKD_05880",1386,2324,714,1103,514,1691,1590,1165,1248,600,944
"BFJEKD_05885",1103,2634,1438,1610,845,2916,3935,2093,1473,911,1331
"BFJEKD_05890",1656,3551,1739,1920,1235,1402,2259,2167,1338,823,1377
"BFJEKD_05895",230,493,278,211,547,344,319,223,300,336,178
"BFJEKD_05900",187,302,530,220,447,362,688,797,121,406,462
"BFJEKD_05905",329,546,287,434,267,532,449,323,581,402,475
"BFJEKD_05910",95,226,280,183,267,1712,1473,531,189,209,178
"BFJEKD_05915",56,211,145,96,207,1047,453,231,115,190,93
"BFJEKD_05920",75,209,100,103,268,438,199,154,109,248,92
"BFJEKD_05925",654,741,1558,1221,1896,848,1018,1290,1610,1689,970
"BFJEKD_05930",289,3384,1019,758,1087,838,1044,959,831,1184,746
"BFJEKD_05935",47,507,281,188,400,125,221,238,109,480,270
"BFJEKD_05940",18,203,104,85,114,87,80,92,50,226,129
"BFJEKD_05945",409,553,1294,1187,1161,1546,1787,1568,1339,1544,1232
"BFJEKD_05950",229,320,862,712,859,525,574,549,608,1244,558
"BFJEKD_05955",3059,1232,6625,6917,6427,5053,8053,6080,7644,6883,4229
"BFJEKD_05960",414,653,601,343,366,2504,2650,1310,347,386,482
"BFJEKD_05965",1578,1271,712,576,487,4748,4540,2303,744,463,573
"BFJEKD_05970",2100,2990,689,534,736,6797,3871,2921,855,613,614
"BFJEKD_05975",1097,2942,1137,2260,1164,25564,36679,2274,3822,679,857
"BFJEKD_05980",538,1175,384,941,457,29453,28039,1116,1484,344,405
"BFJEKD_05985",3409,6798,603,1657,688,473,749,1060,3175,550,930
"BFJEKD_05990",80052,64857,8056,24422,11777,3587,5808,13704,50215,6504,13087
"BFJEKD_05995",487,746,323,246,370,407,332,380,281,270,292
"BFJEKD_06000",115,516,326,294,343,371,398,368,142,387,387
"BFJEKD_06005",162,332,387,353,494,471,379,491,256,710,436
"BFJEKD_06010",1191,1477,2717,2969,2733,3445,3469,3496,3078,3196,3394
"BFJEKD_06020",2709,1530,5359,17066,5955,1549,2758,6783,13035,4686,14113
"BFJEKD_06025",298,563,793,717,807,879,1100,751,1200,772,570
"BFJEKD_06030",211,646,487,503,522,641,806,512,887,481,379
"BFJEKD_06035",163,364,169,184,224,226,203,147,350,225,123
"BFJEKD_06040",748,1171,658,670,681,856,927,794,1018,780,610
"BFJEKD_06045",1611,4156,2370,2354,2592,2129,2816,3125,3336,2822,1891
"BFJEKD_06050",435,1941,720,548,1177,1130,1336,971,699,1035,556
"BFJEKD_06055",49,220,79,108,230,161,138,101,39,246,101
"BFJEKD_06060",950,140,70,232,112,182,209,138,259,119,403
"BFJEKD_06065",2722,489,238,515,592,494,446,506,647,545,1383
"BFJEKD_06070",1107,309,267,494,413,423,309,350,385,510,837
"BFJEKD_06075",1493,1816,2746,2517,2823,5131,5233,3684,2733,2663,2242
"BFJEKD_06080",218,420,835,739,940,1526,1868,1081,1085,753,574
"BFJEKD_06085",5214,8842,16101,12116,15797,17788,23677,16483,31807,12285,8695
"BFJEKD_06090",5849,7126,9993,13590,8779,16058,24146,11630,26532,11573,8852
"BFJEKD_06095",428,650,1100,1927,854,1356,1461,963,1649,813,1466
"BFJEKD_06100",165,324,326,344,311,585,590,416,411,350,311
"BFJEKD_06105",240,182,1402,873,1252,460,715,706,1127,1760,951
"BFJEKD_06110",996,765,545,743,545,493,550,757,652,537,967
"BFJEKD_06115",249,111,1763,2336,1468,1200,2627,2003,4893,1451,1365
"BFJEKD_06120",398,565,1514,1652,1214,2139,4049,1973,1825,1445,1510
"BFJEKD_06130",25,347,778,245,447,549,617,401,163,518,273
"BFJEKD_06135",59,219,110,84,91,159,133,78,215,95,60
"BFJEKD_06140",73,117,182,120,217,323,226,127,232,241,97
"BFJEKD_06145",10696,5510,3789,5676,2994,2292,2267,5847,4343,3405,8916
"BFJEKD_06150",2951,1548,1116,2038,1055,935,844,2062,1612,1330,3171
"BFJEKD_06155",338,644,458,429,560,691,616,908,872,507,532
"BFJEKD_06160",602,1477,1420,559,2262,2935,2438,2633,3415,1046,519
"BFJEKD_06165",643,669,1391,1422,1143,549,572,1038,4274,797,799
"BFJEKD_06170",1200,1729,1092,2139,823,982,1843,1126,1741,809,1714
"BFJEKD_06175",23566,27619,12225,24428,9789,6610,14928,11789,23752,8217,16129
"BFJEKD_06180",717,179,2243,11740,2196,334,434,1049,6279,1296,8796
"BFJEKD_06185",2641,338,5088,31916,5453,706,1030,2407,16213,3422,22718
"BFJEKD_06190",1883,500,3533,14275,3270,540,795,1727,9610,2015,9180
"BFJEKD_06195",2672,465,3634,12986,3338,1004,1046,1903,12060,1928,7177
"BFJEKD_06200",1494,1166,2503,11991,3149,2718,2617,1462,13811,2659,4373
"BFJEKD_06205",2846,2796,2454,18075,3514,4605,6076,2676,31044,3036,4367
"BFJEKD_06210",8536,4811,19824,16487,29462,19602,17569,13339,20495,22459,12068
"BFJEKD_06215",1553,814,1959,2420,1902,1043,1566,1224,4867,2255,1202
"BFJEKD_06220",2448,938,1679,867,1672,677,1431,2553,1599,1824,958
"BFJEKD_06225",853,1159,2506,1793,3002,1470,1420,1898,2822,2858,1170
"BFJEKD_06230",93,117,248,189,202,75,94,106,141,318,156
"BFJEKD_06235",97,160,280,290,327,208,257,251,488,249,200
"BFJEKD_06240",279,350,398,451,429,499,493,521,593,491,509
"BFJEKD_06245",347,525,404,530,397,449,532,678,740,498,701
"BFJEKD_06250",248,307,371,369,329,243,407,635,524,411,551
"BFJEKD_06255",639,841,233,735,254,526,599,528,898,257,696
"BFJEKD_06260",1458,4381,6369,7355,7395,17346,15928,10339,10856,7126,3718
"BFJEKD_06265",848,2906,5408,4863,7117,11259,7642,6737,7076,5545,2189
"BFJEKD_06270",205,1142,2906,1793,3928,4349,1971,2403,1279,3708,1040
"BFJEKD_06275",369,1434,6302,3014,5135,1679,2024,3211,2917,5550,2009
"BFJEKD_06280",12,59,44,62,27,131,91,51,74,71,40
"BFJEKD_06285",71,198,156,147,136,266,359,238,61,149,181
"BFJEKD_06290",171,199,271,379,315,248,342,344,227,364,327
"BFJEKD_06300",14737,4283,3179,15087,4896,2187,4134,3456,55986,2966,3973
"BFJEKD_06305",700,962,148,166,133,200,278,169,457,172,113
"BFJEKD_06310",2454,2792,1129,1218,974,1553,1721,1349,1895,1175,1467
"BFJEKD_06315",5731,5004,2478,2628,2406,2204,2376,2700,3261,2270,3040
"BFJEKD_06320",580,692,834,1495,799,960,1443,1203,750,644,1121
"BFJEKD_06325",1304,996,1079,2283,1169,932,1895,1573,2116,1220,1553
"BFJEKD_06330",7849,4519,723,2480,1029,548,815,1227,7926,655,925
"BFJEKD_06335",136,589,802,388,1517,2155,1452,779,642,761,361
"BFJEKD_06340",190,349,672,504,568,1188,1439,631,826,703,489
"BFJEKD_06345",79,140,125,121,124,209,153,156,233,118,104
"BFJEKD_06350",309,468,527,489,419,893,753,771,336,556,565
"BFJEKD_06355",4712,1804,4702,6948,4888,2521,3057,4466,7909,5038,5872
"BFJEKD_06360",2360,1421,1119,1661,1207,705,1511,1607,3038,1002,946
"BFJEKD_06365",1090,1245,1319,1331,1342,1505,1956,1553,1550,1366,999
"BFJEKD_06370",809,1284,2592,1689,2380,2959,2980,5232,1857,2159,1946
"BFJEKD_06375",114,255,492,361,399,329,373,693,520,523,316
"BFJEKD_06380",1298,2943,2319,1615,2948,2694,2838,2913,2501,2555,1445
"BFJEKD_06385",270,672,697,436,1133,869,759,730,480,1014,465
"BFJEKD_06390",148,458,263,446,131,389,525,1002,633,215,192
"BFJEKD_06395",2628,1999,1061,1340,910,490,693,759,1462,1069,1244
"BFJEKD_06400",32160,8651,21697,8691,28616,14265,18393,7495,3695,23032,8388
"BFJEKD_06405",1425,1175,1287,941,1371,1566,1793,925,664,1814,772
"BFJEKD_06410",306,447,476,307,364,439,342,235,275,517,284
"BFJEKD_06415",1793,995,6386,1838,4964,1341,1674,1478,1074,4902,2484
"BFJEKD_06420",113,77,269,133,208,106,136,118,131,254,166
"BFJEKD_06425",1741,734,835,2226,924,864,1803,1363,4357,943,1129
"BFJEKD_06430",9018,6333,3650,4429,4800,2516,2639,3993,3414,5717,6334
"BFJEKD_06435",102537,54498,24196,37263,24354,15816,16375,19095,52526,34812,38756
"BFJEKD_06440",916,539,572,574,609,432,628,391,1162,685,381
"BFJEKD_06445",369,337,380,288,483,336,419,299,557,413,249
"BFJEKD_06450",263531,123416,14690,44090,21545,21228,34404,29883,64896,16928,39294
"BFJEKD_06455",677,753,192,165,246,381,409,203,582,273,141
"BFJEKD_06460",1161,1010,1658,1840,1768,1709,1978,1733,1780,2215,1358
"BFJEKD_06465",110,382,331,353,384,1444,1378,583,347,511,375
"BFJEKD_06470",4890,4399,7130,9621,6928,7094,14239,11903,11755,6498,7346
"BFJEKD_06475",193,399,429,475,584,959,885,535,797,740,416
"BFJEKD_06485",300,277,271,266,156,259,354,399,219,241,239
"BFJEKD_06490",193,104,199,223,178,257,315,368,354,316,195
"BFJEKD_06495",10647,9115,33397,15072,35752,16298,15003,30928,9046,41361,19544
"BFJEKD_06500",13751,13726,26993,11591,34067,28679,28902,36570,6637,32194,20474
"BFJEKD_06505",3976,4562,14104,9088,15293,9568,11708,16908,8641,17845,12729
"BFJEKD_06510",600,1513,892,983,678,1546,2273,1440,2371,753,834
"BFJEKD_06515",298,1151,310,488,466,611,578,445,1773,449,343
"BFJEKD_06520",308,1262,790,780,880,1531,1519,883,1222,970,652
"BFJEKD_06525",1257,1889,2280,3670,2032,1409,1796,2274,1390,1648,4044
"BFJEKD_06530",796,1537,2312,2733,1823,1207,1369,2124,754,1362,3517
"BFJEKD_06535",383,707,1145,1810,1116,804,818,1163,511,919,2749
"BFJEKD_06540",26568,12705,35914,31025,33848,14393,20061,26088,35433,28468,54815
"BFJEKD_06545",189,401,342,318,309,1081,838,453,232,465,334
"BFJEKD_06550",134,269,250,301,304,498,396,203,435,419,152
"BFJEKD_06555",164,118,227,174,283,144,159,119,432,248,104
"BFJEKD_06560",7615,3566,3636,2318,4507,930,770,1112,1994,3786,2305
"BFJEKD_06565",1758,960,898,852,1081,930,970,862,572,1171,841
"BFJEKD_06570",1783,278,173,690,200,124,173,141,646,296,353
"BFJEKD_06575",1134,603,703,1111,884,846,1609,1520,1624,1003,886
"BFJEKD_06580",857,1137,1746,1548,1753,2115,3173,2761,1216,1761,1387
"BFJEKD_06585",661,1032,852,766,932,1842,1445,2053,790,880,726
"BFJEKD_06590",2758,3665,2583,2036,2966,4642,4186,5748,1849,2573,1781
"BFJEKD_06595",2792,1992,3051,2906,2041,3526,5413,5999,3334,2488,2387
"BFJEKD_06600",34,199,154,103,124,184,240,157,85,236,94
"BFJEKD_06605",18689,10774,32251,28324,27443,9109,20757,25923,24969,20024,17031
"BFJEKD_06610",1956,1764,6561,5373,5105,2257,4110,5576,4128,3832,3494
"BFJEKD_06615",320,440,452,440,330,467,542,513,378,401,736
"BFJEKD_06620",1029,790,779,1117,825,1087,808,999,587,679,1789
"BFJEKD_06625",203,387,375,320,411,340,384,408,162,520,277
"BFJEKD_06630",293,428,465,397,447,396,435,519,341,491,361
"BFJEKD_06635",317,978,1041,636,1302,1093,783,880,633,1315,603
"BFJEKD_06640",267,833,749,465,831,888,768,654,382,918,473
"BFJEKD_06645",706,1554,3441,2378,3587,2335,2709,2569,4140,3337,1880
"BFJEKD_06650",3026,5172,3103,2751,2994,4907,5070,3928,3745,3818,2879
"BFJEKD_06655",4805,4780,8736,5772,7162,5827,8691,9597,7527,6360,5572
"BFJEKD_06660",1944,1411,2025,1482,2568,1958,2291,2738,1419,1923,2172
"BFJEKD_06665",3403,3366,3729,2686,5628,4304,3627,5489,2139,4864,5046
"BFJEKD_06670",194,301,304,286,407,324,197,409,191,472,497
"BFJEKD_06675",20,75,63,75,48,92,101,166,103,72,61
"BFJEKD_06680",215,342,428,457,339,527,797,931,1028,240,327
"BFJEKD_06685",210,214,573,585,438,679,628,973,1161,483,505
"BFJEKD_06690",203,469,1668,792,1101,1540,1712,2387,947,1340,879
"BFJEKD_06695",399,395,2450,1192,1180,1980,2403,2482,1586,1308,1065
"BFJEKD_06700",156,362,229,300,179,579,511,325,103,248,543
"BFJEKD_06705",1933,2064,2806,4412,2026,2241,3826,3089,2513,2518,4209
"BFJEKD_06710",1564,2547,3656,3018,3026,2308,4245,4551,3882,2403,2448
"BFJEKD_06715",1636,3226,4608,2289,5032,3660,5201,5229,2340,3139,2371
"BFJEKD_06720",435,702,815,736,626,782,1559,1197,688,714,731
"BFJEKD_06725",25,184,22,33,24,63,45,25,22,46,20
"BFJEKD_06730",93,236,233,130,316,224,184,174,127,238,155
"BFJEKD_06735",80,162,230,196,365,377,288,263,222,301,157
"BFJEKD_06740",243,469,836,574,980,946,1226,944,1093,703,409
"BFJEKD_06745",4504,4464,4177,4136,5570,5398,6409,5631,8519,4936,3552
"BFJEKD_06750",694,979,1568,1477,1540,2338,2644,1687,2423,1378,1265
"BFJEKD_06755",752,843,2479,1420,2908,2033,2071,1550,1727,3441,1064
"BFJEKD_06760",914,2299,3272,2165,1815,11964,7786,6266,1334,1881,1643
"BFJEKD_06765",7476,3979,3216,4274,2957,524,753,2838,1176,3578,7798
"BFJEKD_06770",476,245,88,244,101,33,32,90,130,149,243
"BFJEKD_06775",9788,5364,923,1695,1172,566,479,1226,1349,1119,2140
"BFJEKD_06780",1784,1000,568,860,651,441,693,656,2439,648,466
"BFJEKD_06785",381,565,114,167,75,231,269,86,236,110,66
"BFJEKD_06790",780,1201,341,506,394,709,358,357,469,420,266
"BFJEKD_06795",739,977,505,557,633,549,650,558,831,583,358
"BFJEKD_06800",1371,1389,632,859,684,1076,1843,1054,1246,698,585
"BFJEKD_06805",1006,1270,582,1060,850,1269,1246,846,1042,891,792
"BFJEKD_06810",72,484,238,351,197,483,336,205,137,298,347
"BFJEKD_06815",120,242,984,518,699,401,454,525,264,906,471
"BFJEKD_06820",1250,3435,4520,4173,6643,5352,4680,4842,4614,7669,3546
"BFJEKD_06825",774,1714,2283,1704,2769,3396,4112,3410,2140,2286,1458
"BFJEKD_06830",35,129,308,198,120,99,183,237,162,186,160
"BFJEKD_06835",302,390,376,402,376,382,441,356,563,494,244
"BFJEKD_06840",155,225,244,249,187,447,430,247,322,254,143
"BFJEKD_06845",355,664,890,1185,683,809,870,1099,1266,767,911
"BFJEKD_06850",442,655,853,1029,778,1051,997,877,1070,975,1071
"BFJEKD_06855",833,1474,924,1168,820,1119,1493,900,1898,1155,890
"BFJEKD_06860",370,787,379,551,432,595,639,437,510,510,410
"BFJEKD_06865",61,215,56,91,115,226,133,84,109,124,53
"BFJEKD_06870",165,343,128,173,182,487,453,238,188,155,107
"BFJEKD_06875",5525,3535,1982,2516,1543,1016,1341,1575,2670,2083,2557
"BFJEKD_06880",13566,10234,2649,2190,2438,2412,2738,3509,1949,2007,2677
"BFJEKD_06885",115,173,141,141,147,126,233,172,90,136,149
"BFJEKD_06890",392,454,743,605,686,514,912,728,1277,629,432
"BFJEKD_06895",152,416,312,385,253,364,539,381,641,339,229
"BFJEKD_06900",229,425,525,359,315,366,635,511,396,407,317
"BFJEKD_06905",1073,791,769,957,542,713,1045,696,1483,555,691
"BFJEKD_06910",2572,768,554,784,587,334,558,453,719,600,680
"BFJEKD_06915",4145,935,814,1448,950,406,651,731,1230,1046,1261
"BFJEKD_06920",2592,1377,646,2389,552,535,698,730,1619,977,2123
"BFJEKD_06925",917,902,304,511,328,358,352,430,176,311,1090
"BFJEKD_06930",1917,1082,875,1653,970,494,347,1122,572,1610,3475
"BFJEKD_06935",752,1625,3126,2319,2258,1104,1600,2560,2135,2408,1788
"BFJEKD_06940",1739,2687,5944,3886,5322,5123,5428,6870,3674,5609,3871
"BFJEKD_06945",313,533,613,446,620,1144,876,522,555,795,392
"BFJEKD_06950",227,203,553,461,384,408,609,416,961,500,328
"BFJEKD_06955",16,43,84,88,106,48,49,38,67,170,44
"BFJEKD_06960",105,157,464,319,925,551,376,262,198,872,224
"BFJEKD_06965",109,235,474,358,598,907,863,406,385,576,271
"BFJEKD_06970",205,440,339,487,315,507,769,629,292,378,618
"BFJEKD_06975",1625,1118,920,1407,803,518,1058,1250,1602,1030,1247
"BFJEKD_06980",10609,5327,9961,11631,9250,8159,8140,8955,16025,8996,8898
"BFJEKD_06985",822,520,278,498,253,434,530,423,703,356,371
"BFJEKD_06990",1299,565,1026,2130,816,683,707,1133,1070,809,2271
"BFJEKD_06995",468,492,481,621,473,577,718,830,313,764,783
"BFJEKD_07000",3350,4199,447,1360,595,343,470,725,2766,447,810
"BFJEKD_07005",645,492,897,1080,714,371,709,665,2183,720,563
"BFJEKD_07010",167,170,188,289,178,256,374,259,626,225,195
"BFJEKD_07015",1224,2096,507,479,509,1678,1045,1235,224,564,738
"BFJEKD_07020",1193,2190,3510,2301,7851,3704,2420,2910,1169,8142,2100
"BFJEKD_07025",387,467,977,761,1619,1413,1363,1019,630,1664,695
"BFJEKD_07030",2823,1803,2325,2142,2443,4766,4441,4269,1775,2263,1975
"BFJEKD_07035",3003,1608,1934,1820,1633,3005,3949,3679,2921,1380,1518
"BFJEKD_07040",476,835,1599,1342,1260,437,472,1245,813,1310,1921
"BFJEKD_07045",2055,1034,11526,7492,10070,2062,1811,3939,3526,10284,9958
"BFJEKD_07050",2758,1799,12036,6229,10734,2018,2332,3206,2958,9238,9702
"BFJEKD_07055",22800,8271,90796,73114,65781,8453,13028,24592,59999,60723,105446
"BFJEKD_07060",461,657,619,545,761,990,799,675,593,660,651
"BFJEKD_07065",4535,5023,872,1321,1375,1490,1262,1299,1015,954,1780
"BFJEKD_07070",17603,4437,4176,9724,3968,850,1620,5127,4127,3403,8182
"BFJEKD_07075",1634,685,1051,1873,901,219,383,1145,843,743,1779
"BFJEKD_07080",819,586,783,1250,660,198,240,852,457,609,1336
"BFJEKD_07085",409,664,534,625,540,614,613,493,552,647,638
"BFJEKD_07090",40,98,159,156,293,288,266,150,325,221,118
"BFJEKD_07095",286,443,246,582,236,319,411,2161,576,228,588
"BFJEKD_07100",57,136,140,101,159,149,160,347,84,172,176
"BFJEKD_07105",78,203,200,192,250,309,257,201,87,320,254
"BFJEKD_07110",42,104,54,81,79,122,138,68,61,109,109
"BFJEKD_07115",424,1038,1242,1054,1483,1872,1772,1399,1259,1129,997
"BFJEKD_07120",111,188,194,224,123,303,343,264,218,141,198
"BFJEKD_07125",36,105,165,86,95,210,228,213,53,148,160
"BFJEKD_07130",263,313,748,804,421,510,830,937,519,694,1021
"BFJEKD_07135",7808,9509,8170,6596,6209,5155,8981,7251,9196,6674,5172
"BFJEKD_07140",16980,5980,10888,21628,11220,9071,11758,11106,16947,9030,24771
"BFJEKD_07145",602,832,645,1059,505,1125,887,785,641,605,1458
"BFJEKD_07150",1021,2339,1447,1231,931,1922,1642,1359,1149,878,1321
"BFJEKD_07155",4280,33465,3794,3221,4780,1796,2024,3245,1489,3452,4919
