"","A_1","A_2","CO_1","CO_2","CO_3","H2_1","H2_2","H2_3","S_1","S_2","S_3"
"BFJEKD_01995",2933,17362,5355,5454,7341,36609,28701,18113,6960,8792,3672
"BFJEKD_02000",71807,23786,46520,37478,38133,6077,7858,20429,21583,41755,32184
"BFJEKD_02005",18645,29437,35177,24316,33838,9309,7568,21816,15566,37327,27839
"BFJEKD_02010",128,1988,3016,2692,2759,632,583,1975,2034,3905,1518
"BFJEKD_02015",730,14819,18674,15018,19098,3707,3280,12782,12922,20424,8807
"BFJEKD_02020",1597,11204,12726,13312,17276,12103,5952,13717,16859,17823,6357
"BFJEKD_02025",957,9522,7171,7921,9708,12592,5854,8768,9601,10185,3472
"BFJEKD_02030",709,4717,3427,4436,5927,15033,8665,6383,5268,6201,2331
"BFJEKD_02035",120,490,487,542,801,2033,1607,867,998,838,376
"BFJEKD_02045",2960,15356,12459,14238,37738,75115,39842,26947,20250,28941,10678
"BFJEKD_02060",604,827,812,692,484,395,739,903,1200,523,558
"BFJEKD_02070",755,517,770,1193,867,957,1462,927,2307,691,606
"BFJEKD_02075",9,26,12,13,8,8,12,9,26,4,10
"BFJEKD_02080",647,482,826,1895,748,734,1010,704,2264,701,1080
"BFJEKD_02085",192,290,205,282,143,334,323,186,265,159,203
"BFJEKD_02090",205,495,241,189,320,528,372,272,289,243,145
"BFJEKD_02095",228,1000,748,544,965,1224,1296,809,1095,600,452
"BFJEKD_02100",310,653,614,940,463,508,853,674,1140,480,547
"BFJEKD_02105",604,1917,3197,2178,3851,3568,3761,2717,3596,3563,1824
"BFJEKD_02110",67,132,137,115,216,251,124,114,156,204,92
"BFJEKD_02115",40,115,344,221,485,525,388,320,502,429,140
"BFJEKD_02120",425,990,1273,1044,1474,2672,2397,2247,2260,1317,1070
"BFJEKD_02125",1616,1553,1132,2053,1339,2790,2525,1620,2985,1264,1359
"BFJEKD_02130",714,1485,4174,1677,1895,1912,3093,3515,920,980,1286
"BFJEKD_02135",601,689,652,747,807,1051,970,908,886,837,532
