"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Global and overview maps","ko01230","Biosynthesis of amino acids","37/425","241/14346",1.3138543992948e-16,2.57515462261781e-14,1.96386657578802e-14,"K01783/K00615/K00145/K03786/K00058/K00873/K11645/K01736/K00013/K00765/K00220/K04517/K00641/K00611/K00821/K21071/K01696/K01695/K00266/K00265/K01739/K00948/K01649/K00928/K14267/K01758/K00789/K00831/K02502/K00812/K01778/K01915/K00548/K01647/K01609/K01953/K01687",37
"Metabolism","Global and overview maps","ko01200","Carbon metabolism","44/425","377/14346",5.35729557334914e-15,5.25014966188216e-13,4.0038735337662e-13,"K00169/K03737/K01601/K01783/K01086/K03841/K00855/K00615/K02160/K01961/K00058/K00873/K03781/K11645/K00029/K00625/K13788/K00925/K00281/K00283/K00282/K02437/K00605/K14447/K14446/K14448/K00626/K21071/K01963/K01715/K01965/K01966/K08691/K00196/K22015/K00948/K15024/K00831/K14449/K00198/K01647/K05605/K18118/K01676",44
"Metabolism","Carbohydrate metabolism","ko00620","Pyruvate metabolism","23/425","133/14346",7.04625847542025e-12,4.60355553727457e-10,3.51076738073571e-10,"K01069/K00169/K03737/K02160/K01961/K00873/K01759/K00029/K00625/K13788/K00925/K00656/K00626/K01963/K01649/K00102/K15024/K13954/K00128/K00138/K18930/K18118/K01676",23
"Metabolism","Global and overview maps","ko01240","Biosynthesis of cofactors","39/425","380/14346",1.20253832491987e-11,5.89243779210735e-10,4.49369584575319e-10,"K02495/K00762/K00208/K01955/K11753/K00609/K01465/K01918/K02224/K02303/K02548/K01591/K06134/K04719/K01749/K01772/K03185/K03183/K01495/K03639/K03809/K02233/K00568/K00643/K00789/K01809/K00128/K04487/K00831/K00767/K09903/K01885/K00355/K01698/K03474/K01939/K03147/K02858/K03750",39
"Metabolism","Carbohydrate metabolism","ko00630","Glyoxylate and dicarboxylate metabolism","21/425","118/14346",3.32934831556589e-11,1.30510453970183e-09,9.95299917495488e-10,"K01601/K03781/K05825/K01091/K00281/K00283/K00282/K02437/K00605/K14447/K14446/K14448/K00626/K01965/K01966/K08691/K01433/K14449/K01915/K01458/K01647",21
"Metabolism","Global and overview maps","ko01232","Nucleotide metabolism","21/425","123/14346",7.53504786401725e-11,2.4614489689123e-09,1.87715227489553e-09,"K01485/K01494/K00943/K06928/K00769/K06287/K00856/K00088/K01951/K06966/K00759/K01488/K21053/K00525/K00526/K09903/K03787/K08723/K00364/K01939/K00761",21
"Cellular Processes","Cell motility","ko02030","Bacterial chemotaxis","10/425","26/14346",1.62842658965325e-09,4.55959445102909e-08,3.4772417403122e-08,"K03406/K02417/K03414/K03412/K13924/K10439/K02556/K02557/K03413/K03407",10
"Metabolism","Carbohydrate metabolism","ko00640","Propanoate metabolism","17/425","104/14346",9.78675724008611e-09,2.3977555238211e-07,1.82857832643714e-07,"K00169/K02160/K01961/K00625/K13788/K00925/K00656/K01963/K01692/K01965/K01966/K13921/K15024/K01908/K00822/K01578/K05605",17
"Metabolism","Amino acid metabolism","ko00250","Alanine, aspartate and glutamate metabolism","13/425","70/14346",1.15263931661479e-07,2.51019228951666e-06,1.91432494689241e-06,"K01955/K00820/K00609/K00266/K00265/K00135/K13821/K23265/K00812/K01915/K01939/K01953/K16871",13
"Metabolism","Nucleotide metabolism","ko00240","Pyrimidine metabolism","16/425","114/14346",2.39791591870619e-07,4.69991520066413e-06,3.58425326796083e-06,"K00762/K01485/K01494/K01955/K00609/K01465/K00943/K01591/K06287/K06966/K00525/K00526/K09903/K03787/K08723/K00761",16
"Metabolism","Energy metabolism","ko00720","Other carbon fixation pathways","16/425","121/14346",5.50260587699737e-07,9.8046431990135e-06,7.47722521084811e-06,"K00169/K03737/K02160/K01961/K00625/K13788/K00925/K00626/K01963/K08691/K00196/K22015/K15024/K14449/K00198/K01676",16
"Cellular Processes","Cellular community - prokaryotes","ko02024","Quorum sensing","24/425","283/14346",3.84874212412699e-06,6.28627880274075e-05,4.7940472072459e-05,"K02033/K02034/K02031/K02032/K03073/K03217/K13061/K01997/K01996/K02054/K01998/K01995/K02035/K15580/K20532/K20530/K20529/K20528/K20527/K18139/K03110/K10715/K09823/K01999",24
"Metabolism","Energy metabolism","ko00710","Carbon fixation by Calvin cycle","8/425","36/14346",8.10836206810899e-06,0.00012224915118072,9.32297500948564e-05,"K01601/K01783/K01086/K03841/K00855/K00615/K11645/K00029",8
"Metabolism","Nucleotide metabolism","ko00230","Purine metabolism","20/425","224/14346",1.16210731890076e-05,0.000162695024646107,0.000124074616002939,"K15778/K06928/K00769/K00856/K00088/K01951/K06966/K00759/K00948/K01952/K23265/K23264/K01923/K01488/K21053/K00525/K00526/K03787/K00364/K01939",20
"Metabolism","Amino acid metabolism","ko00260","Glycine, serine and threonine metabolism","13/425","110/14346",2.19964723019736e-05,0.000274552242683368,0.000209379261337477,"K00058/K00281/K00283/K00282/K02437/K00605/K01696/K01695/K00928/K01758/K00639/K00643/K00831",13
"Genetic Information Processing","Translation","ko00970","Aminoacyl-tRNA biosynthesis","10/425","66/14346",2.24124279741525e-05,0.000274552242683368,0.000209379261337477,"K01878/K01870/K01868/K01889/K01867/K04566/K01880/K01885/K01876/K01875",10
"Metabolism","Amino acid metabolism","ko00270","Cysteine and methionine metabolism","14/425","128/14346",2.59914544784247e-05,0.000299666181045368,0.000228531674051784,"K00058/K00641/K13061/K01739/K00928/K01740/K01758/K00789/K00831/K00812/K00548/K01611/K25035/K01767",14
"Metabolism","Amino acid metabolism","ko00280","Valine, leucine and isoleucine degradation","10/425","71/14346",4.29910287672433e-05,0.000468124535465538,0.000357001525435588,"K00626/K00632/K01692/K01965/K01966/K00128/K00822/K05605/K11538/K00249",10
"Genetic Information Processing","Translation","ko03010","Ribosome","14/425","143/14346",8.88086115747959e-05,0.000916130940455789,0.000698660545352965,"K02919/K02948/K02952/K02913/K02916/K02887/K02956/K02968/K02902/K02963/K02990/K02970/K02909/K02871",14
"Metabolism","Metabolism of cofactors and vitamins","ko00670","One carbon pool by folate","9/425","65/14346",0.000118644603755052,0.00116271711679951,0.000886712301748285,"K00281/K00283/K00282/K02437/K00605/K01433/K01758/K00789/K00548",9
"Cellular Processes","Cell motility","ko02040","Flagellar assembly","8/425","55/14346",0.000199454592435105,0.00186157619606098,0.00141967679828496,"K02401/K02421/K02394/K02396/K02406/K02417/K02556/K02557",8
"Metabolism","Energy metabolism","ko00680","Methane metabolism","16/425","196/14346",0.000245151924782898,0.00218408078442946,0.00166562551766371,"K00169/K01086/K03841/K00058/K11645/K00625/K13788/K00925/K21071/K08691/K00196/K22015/K00831/K03532/K07812/K00198",16
"Metabolism","Carbohydrate metabolism","ko00010","Glycolysis / Gluconeogenesis","11/425","107/14346",0.000326526685294437,0.00278257523120477,0.00212204985408742,"K15778/K00169/K03737/K01086/K03841/K00873/K11645/K21071/K13954/K00128/K00138",11
"Metabolism","Carbohydrate metabolism","ko00650","Butanoate metabolism","11/425","114/14346",0.000563768096764377,0.00460410612357575,0.003511187269322,"K00169/K03737/K00656/K05973/K00626/K01692/K01715/K00135/K00634/K18118/K16871",11
"Metabolism","Carbohydrate metabolism","ko00051","Fructose and mannose metabolism","11/425","115/14346",0.000607182260558475,0.00476030892277845,0.00363031077891804,"K00971/K16011/K01840/K15778/K01086/K03841/K11645/K21071/K00847/K01628/K01809",11
"Metabolism","Carbohydrate metabolism","ko00520","Amino sugar and nucleotide sugar metabolism","11/425","116/14346",0.000653347843160808,0.00492523758690455,0.00375608881493258,"K00971/K16011/K01840/K15778/K00790/K00820/K04042/K00847/K01809/K01784/K01791",11
"Metabolism","Amino acid metabolism","ko00220","Arginine biosynthesis","8/425","67/14346",0.000784361559254912,0.00569388391162825,0.00434227451907203,"K00145/K01955/K00611/K00821/K23265/K00812/K01915/K01457",8
"Metabolism","Metabolism of cofactors and vitamins","ko00860","Porphyrin metabolism","12/425","142/14346",0.00105726609748946,0.00740086268242619,0.0056440520993798,"K02495/K11337/K02224/K02303/K01749/K01772/K11336/K10960/K02233/K00643/K01885/K01698",12
"Metabolism","Metabolism of other amino acids","ko00430","Taurine and hypotaurine metabolism","5/425","29/14346",0.00147062978091213,0.00989409222715796,0.00754544090363281,"K00681/K00625/K13788/K00925/K15024",5
"Metabolism","Amino acid metabolism","ko00400","Phenylalanine, tyrosine and tryptophan biosynthesis","8/425","74/14346",0.00151440187150377,0.00989409222715796,0.00754544090363281,"K03786/K01736/K00220/K04517/K01696/K01695/K00812/K01609",8
"Metabolism","Global and overview maps","ko01210","2-Oxocarboxylic acid metabolism","10/425","113/14346",0.0019220120077394,0.0121520759199007,0.00926742631915094,"K00169/K03737/K00145/K05825/K00821/K01649/K00928/K00812/K01647/K01687",10
"Metabolism","Metabolism of cofactors and vitamins","ko00785","Lipoic acid metabolism","5/425","31/14346",0.00200440149951761,0.0122769591845454,0.00936266489906254,"K00281/K00283/K00282/K02437/K00605",5
"Metabolism","Metabolism of other amino acids","ko00410","beta-Alanine metabolism","6/425","46/14346",0.00224091203079805,0.0132958336416775,0.0101396797911826,"K01918/K01692/K00128/K00822/K01578/K05605",6
"Genetic Information Processing","Folding, sorting and degradation","ko03018","RNA degradation","8/425","79/14346",0.00230642012151548,0.0132958336416775,0.0101396797911826,"K11927/K04043/K03628/K04077/K08311/K05592/K08300/K00937",8
"Metabolism","Amino acid metabolism","ko00340","Histidine metabolism","6/425","47/14346",0.00250587877730037,0.0140329211528821,0.0107017980865159,"K00013/K00765/K00128/K02502/K01458/K01745",6
